Placard,Description
1,"partition wall damaged - restrict use around masonry wall between properties, SE should review all next to chimney in 1194"
1,Chimney broken at roofline - c ollapse hazard
1,Chimney at 3109 collapse hazard - restricted use yard area near chimney - do not use side yard near chimney until hazard is mitigated
1,east stair case - chip & spolling header connections
1,need engr eval - stairs east end show chipping & spalling
1,Loose tiles on roof - do not walk under building overhang until hazard is mitigated
0,No one home-left light green tag
0,structure good
0,structure good
1,chimney damage at roofline/stay clear of chimney
1,chimeny damage at roofline/stay clear of chimney
1,chimney damage at roofline/stay clear of chimney
1,chimeny damage at roofline/stay clear of chimney
1,fire place chimney appears cracked at the roof line
1,stay clear of chimney area
0,structure good
1,chimney down
0,(Sees Candy)
0,(Payless Shoes)
0,(Big 5 Sporting Goods)
2,"plaster on ceiling repair, remove old unused fire place chimney"
2,Fire sprinkler system failed/Water damage
1,cracked roof truss in social hall (Senior Center)
0,(Sizzler)
0,cracking appears to be superficial only - no structural damage observed
0,appears to be surface cracks only - no structural damage observed
1,"cracked glass, remove and replace as needed - entry for repairs only"
1,Cracking in foundation wall. Okay to occupy
1,chimney
0,cracking along ceiling walls throughout appears non-structural - no structural damaged observed
1,chimney shifted with fallen bricks
1,stay clear of chimney area
1,chimney falling hazzard
2,"chimney collapse, damaged gas lines"
1,chimney fell onto roof
0,no damage observed (apartments)
1,"Chimney bricks shifted, may fall"
0,"minor cracking inside home (lath and plaster) - met tenant at residence, home is safe to occupy"
1,deck ledger is Comin aWy from attachment
1,"deck separated from house, superficila interior plaster cracks; crack in masonry chimney"
1,"Rear chimney has lg. 1/2"" crack just above roof line. Restricted access around chimney. OK to occupy"
1,restrictued access recommended near chimney
1,fireplace missing entire top section from roof up
1,"Restrictions around chimney, chimney separated from house"
0,No comments. No one home
1,retaining wall cracked; chimney
1,cracks in garage floor; fault line below bldg
0,No damage noted
0,No damage noted
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,stucco cracking
1,"Chimney leaning, about to fall on roof. Public education provided to home owner who thought it was fine"
0,Extra flue liner (crooked) was removed by Napa Valley Remodel (707) 333-9043
1,chimney broken at roof line
0,"Green tag, no comments"
1,stay clear of fireplace chimney area interior and exterior
1,chimney cracked and separated from roofline
1,Chimney separation from bldg. taped off
0,"East side , are horizontal cracks @ SIU plate to foundation connection, crawl space to inspect sill plate to foundation"
0,"Patio roof failure causing fence to lean into neighbor property, Insp. Did find this to be the case. No damage. Caller was neighbor, not resident"
0,No structural EQ damage
0,No structural EQ damage
0,No structural EQ damage
0,No structural EQ damage
0,No structural EQ damage
0,Superfical drywall cracking
0,Front  exterior only minor wall crack near porch
0,Front  exterior only minor wall crack near porch
0,No structural EQ damage
0,Front exterior only
0,No structural EQ damage
1,do not use fireplace until chimney is repaired
1,CMU concrete wall attached at roof line cracked.
1,contractor in process of demo
0,(multi-family)(off of Riverside Dr)
1,stay clear of chimney at 225 Coombs - chimney is cracked & displaced
0,No Structual Damage
0,(Lilliput Childrens Services)
2,chimney collapse - detached beam at entry rear
1,Rear corbel torn off wall. HSC pillar cracked on side
1,"chimney shifted, falling bricks, Restrictions around chimney"
1,do not use fireplace until chimney is repaired
1,do not use fireplace until chimney is repaired
1,do not use fireplace until chimney is repaired
0,hairline crack on wall minor; loose heater strap - no damage
1,Masonry @ front porch and steps has failed (also 1547 Oak St)
1,Chimney
1,"breaks in plumbing, cracks in plaster, chimney cracks, broken window"
0,Minor cracks interior plaster
2,due to unsafe condtion of 1738 Oak St
2,Foundation; structure collapse
2,fall danger from next door (1738 Oak St)
1,bldg shifted on foundation at front porch
0,Not home
0,(Tews Consignment)
1,"Collapse, unit K rear wall separation. 1144-1448 No access until repaired"
0,structure good
0,structure good
0,(CED)
1,"Fallen chimney, no restrictions"
1,Cracks at masonry cimney
1,foundation compromised
2,masonry block at infill area has moved; not appear to be grouted; unsafe to occupy
1,chimney
1,chimney
1,damaged chimney - broken at roofline
1,damaged chimney
1,Damaged chimney- moderate damage
1,chimney
0,chimney above roof fell off - roof repaired - no bebris on site
1,"damage to walls, rafters in carport, archways - no one home - no restrictions"
0,water heater fall out of closet - permit required for replacement
0,No visible damage - not home GREEN TAG
0,Damage to staircase at main entry to the home
1,"Chimney collapsed onto neighboring fence, fence damaged and concrete walk cracked"
1,Fallen chimney - no other issues
1,2 grout/mortar lines cracked - avoid using living rooms until repaired
0,Neighbor @2941 indicated possible chimney damage inside the residence (Napa Gardens)
1,"botoom plate garage - shifted 2"""
0,"Minor wall cracks, contractor to evaluate GREEN TAG"
1,"Porch post-shifted location 2"" @ base. Buckled ceiling panel @ porch"
0,Not home unable to access yard
1,chimney damage. Stay clear of area around chimney to avoid falling debris
0,minor damage
0,structure good
0,Interior GYP board cracking
0,"chimnney top shifted 6"" now in front yard"
1,"McCaulou's dept store interior celiling damage, beams"
0,"reinspected, windows fixed (Napa Valley Toy Company)"
1,if working within 54' of NW corner of workspace another person must be present
1,Decorative non bearing wall collapse in front of building
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,minor damage
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,"Interior bearing wall @ family rom/garage has signs of cracking/distress. Needs structural Eng. Inspection, Mstr bdrm patio needs weather proofing"
1,Displaced Fireplace & chimney - occupants be aware of displaced firplace - may pull aWy from home
0,Not home
1,9 ft wall for utlities with stone veneer wobbles sideWys and is next to walkWy. Dry rot on deck planks of pedestrian bridge
0,(SafeWy)
1,Horizontal crack at chimney Recommend repair grout
0,Minor cracks Interior throughout house remmend sheet rock replacement
1,Damaged chimney- moderate damage
1,chimney
0,Cracked foundation and stucco
1,building shifted on foundation
2,building shifted off foundation
0,front steps have moved
1,"stone veneer released, trellis shifted, minor damage - north wing rooms still restricted, elevator 2 & service elevator restricted"
2,"structural, off foundation, falling hazard, ground slope movement or cracking"
1,Damaged chimney- moderate damage
0,broken/cracked windows
0,broken window/cracked windows
0,(Spitiri Bros)
0,"cracks above door frame, center support beam cracked"
0,(Allstate Insurance)
0,looks good
0,(St Joseph St)
0,looks good
0,(Valley Tech Solutions)
0,looks good
0,no structural damaged observed
0,have chimney inspected - small crack rear hot water flue needs reattached - gas to water heater shut off
0,no structural damaged observed
0,tenant indicates owner had structural engineer on site and gave clearance
1,chimney cracked
1,(Bikram Yoga) neighboring chimney at 1930 Jefferson is damaged - OK to occ
0,no structural damaged observed
1,chimney top fell to pavement
1,chimney fell - do not use fire place
1,chimney fell - do not use fire place
1,chimney fell - do not use fire place
1,chimney fell above roofline do no use fireplace
1,chimney unsafe/stay clear until removed-permit required
1,chimney section through roofline damaged
1,Damaged chimney- moderate damage
1,chimney fell from above roofline - don ot use inisert until verified safe by contractor
0,Inspected
0,"Minor cracking in veneer around fireplace, minor foundation cracking, minor stucco cracking"
1,chimney fell off at roof line
1,stay clear of fireplace
1,"chimney at rear fallen, shearing at roof - occ in other rooms permitted"
1,"Rear shed altered, front yard wall cracked by evergreens."
1,"chimney has cracks, falling hazard, cracks in stucco and gypbd at windows, garage header - chimney and connection to structure needs to be inspected"
1,Chimney damage
1,Damage to chimney
1,Chimney left side of building a few loose bricks on top. Stay aWy taped off area
2,"fractures at foundation, parapet, walls - major masonry down"
1,OK for consturction crew to access
1,"Cracked/displaced chimney, stucco parge so can't see bricks. Minor stucco cracks @ ext. Use caution around chimney. Do not use fireplace"
0,no issues
0,[Mais Oui Massage]
0,no exterior issues
1,2 chimneys cracked - falling hazard -some ground movement caused cracking
1,chimney fell - do not use fireplace
1,chimney fell
1,"avoid left side yard, do not use fireplace - chimney partial collpased & cracked"
1,brick shifted above roofline - avoid side yard and do not use fireplace
0,"minor damage to chimny, roof frame over garage - interior drywall crack"
1,chimney loose from roofline - avoid side yard - do not use fire place
0,"Broken window no observing, damage no observed cracks or displacement of chimney"
0,"No placard, no cracks per owner. May have electrial problem. Has called PGE"
0,"Owner has had observed by city 2X's ext & int, but not yet posted so we posted GREEN"
0,No comments
0,"No damage found-minor H2O heater vent, pipe needs to be reattached"
0,No apparent damage
1,Cracked chimney - minor damage
1,foundation cracks - eng needs eval
1,chimney collapse
1,"roof damage, A/C unit broken"
1,"carport damage, chimney, structural damage"
0,No comments
0,No comments
1,5th street entry has broken aWy at each corner. High risk of collapse
1,Side entry doorWy lintel damage at brick bearing - NE corner - keep people clear
0,wall top late deflection-rear entry (Celadon)
0,(Napa River Inn)
0,hotel portion of mill - pipe rmeoved from above roof - balance of pipes secure
0,structure good
1,Loose silo chute pipe above silos roof. Chute pipe hanging from rusted holes in pipe
1,Rear terra cotta wall shear. Rear corner brick pillar sheared
0,(Angele Resturant)
0,(Angele)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
0,(multi-family)(off of Riverside Dr)
2,"2 acc strucs: garage severe racking, crack slab, ground movement - cotage severe racking at cripple wall, post supports severely compromised"
1,no restrict - post to beam connections at subfloor have been compromised - submit struc report to City
1,Cult Following
1,do not use fireplace until chimney is repaired
0,structure good
0,structure good
2,foundation failing at all 4 sides
0,"No damage, owner contacted. She said she is good for exterior. Inspection only, does not want interiors to be inspected"
0,No comments
1,chimney
0,drywall cracks
0,"Minor cracking @ head & bk joints @ upper coupe of chimney, 1 or 2 cracked head & back joints lower @ upper 1/3"
1,cracked foundation
1,Damaged Chimney
1,Damaged chimney @ rear of building
1,fire place falling needs rebuild - contractor needs to inspect foundation
1,foundation inside of building cracked - further inspection needed
1,Damage chimney on N side
1,collapsed and leaning chimney
1,Front porch appears racked-Part of railing damaged
0,[replaced yellow to green per Engr Report]
2,re-tag per Dan K. - Merrell's Bldg
1,"Rear brick wall buckled at parapet, shear cracks in rear wall"
0,[replaced yellow to green per Engr Report]
0,(Sal the Flower Guy)
1,chimney collapse above roof
1,chimney top fell to ground
1,cracks in wall & overhanging canopy
0,(Aveda Salon)
0,(SubWy)
0,(Paul Hanson Partners)
0,(Annette's Chocolates)
0,(Napa Valley Info Center)
0,structure fair
0,(Empire) OK to occupy
2,Outdoor Dining Area only (Norman Rose)
2,Outdoor only - Oenotri
0,Minor drywall cracks
0,insert pulled from chimney - no damage
1,"chimney collapse, OK to enter bldgs A, B, C"
0,(First Republic Bank)
0,"minor ceiling tile damage, cracked slab front to rear of store"
1,Cracked chimney
0,"minor damage around pool, fireplace brick facia shows, cosmetic cracking"
1,chimney collapse - owner not present - do not use fireplace
2,wall to be pulled back  (gym)
0,Minor Façade Damage (St. Apollinaris Catholic Church)
1,do not use family room or walkway surrounding chimney
1,top 11 courses of brick separated from mortar bed - avoid area around chimney
1,OK to occupy. Avoid chimney area
1,chimney
0,Only exterior
1,brick pulling aWy from eachother on the top section of chimney. Brick separating in joins in front
0,(Lilia's Beauty Salon)
1,Collapse of chimney above roof line
1,"chimney damage, cracked, pulled away from home - remove stack to smoke box"
1,"separation (less that 1/4"") between front entry wall and garage wall, west wall is bowing out at first floor sill, rim joint twisted inside"
1,chimney has fallen & has been removed - no restrictions
0,Collapsed chimney has pow been removed. H2o heater has been re-strapped & braced
1,Chimney cracked through
1,"Safe to occupy restricted access in area around & adjacent to chimney exterior ""falling hazard"""
1,chimney fell over onto roof
1,"front stairs OK, do not use handrail until mitigated, posts cracked/racked/twisted"
1,updated yellow tag - remedial reailing & front stairs repaire done - house no longer securable - hardrail at rear stair compromised
0,Minor int. drywall cracking GREEN TAG
0,Minor int. drywall cracking GREEN TAG
0,looks good
0,structure good
0,structure good
0,(mini gordon chimes)
0,looks good
0,structure good
0,"Int. GYP cracks, apparent settlelment of chimney firebox structure pulled away from flr. Visable @ minor flor, rock deck, guard gap @ chimeny"
1,chimney collapse
1,chimney fallen and remaing portion cracked and at risk of falling
1,chimney hazard remain - noted on current yellow tag
1,chimney collapse
1,chimney collapse
1,"Avoid chimney area due to chimney damage caution taped, avoid accessing area"
1,"Chimney is leaning aWy from house by about 1 1/2"". Potential to fall further"
1,chimney collapse
0,Cracks- interior plaster
1,Chimney collapse at roof line
1,Chimney movement at roof line
1,damage to fireplace restricted around fire place
1,damaged chimney
0,"already in place, indicates interior and exterior inspection"
1,Chimney damage
1,falling hazard
2,Collapsed structure
1,CMU fence tilts toward street at 20 degree angle at chain link fence gate
1,Prior cracking in chimney wall has have increased in size. Requires structural assessment
1,chimney damaged
1,Keep area clear around chimney
0,Minor cracks to drywall
0,Moderate cracks on side @ exposed root beams. Advise to consult SE. advise SE to evaluate roof beam cracks
0,Green tag
0,"Minor foundation cracks, no structural damage"
1,fireplace cracked & could fall - do not use front door access
1,Public sidewalk at brick fence. Falling hazard
1,neighbors carport danger of falling/do not use driveway
1,foundation movement observed at east side of building near front
2,carport 20% leaning
2,carport 20% leaning
1,"garage door frame, left column off foundation"
1,chimney
1,"garage door frame, left column off foundation"
1,Damaged chimney- moderate damage
1,Damaged chimney- moderate damage
0,structure good
1,sills on fndn (not bolted); lower door doesn't close; garage wall racked; stairway compressed against wall; need struc engr review; bsmt living qrtr
1,exteded occ dependant on eng report
1,chimney collapsed displaced front porch
1,racked walls; plaster cracked throughout
1,"Rocking has caused 2nd flr.diaphragm to cuckle, bldg. is shaking has rocking motion OK to retrieve belongings, not OK to occupy. Structural Eng. Report"
0,No comments
0,structure good
0,structure good
0,structure good
0,structure good
0,no issues
0,"Minor cracking, no apprent structural damage, inspection done upon request of owner"
2,foundation has failed; structure of foundation
0,(Kenneth Cole) listed as 591 Freeway Dr
0,(Bose) listed as 595 Freeway Dr
0,(Lucky Brand Jeans) listed as 605 Freeway Dr
1,entered as 661 FreeWy Dr - beam - essential staff only (Polo Lauren)
0,(Brooks Bros) listed as 637 Freeway Dr
0,(Ann Taylor) - property flooded
1,entered as 815 FreeWy Dr - fracture in CMU above stockroom door (Famous Footwear)
0,(Cole Haan/Clarks)
0,(Talbot) listed as 859 Freeway Dr
1,chimney broken off at roofline
0,No issues
0,owner apperas to be repair chimney cracks himself
1,chimney damage
1,restict access to area around chimney
0,Exterior & Interior cracking of finishes due to cracking @ corners
1,Damaged chimney- moderate damage
1,chimney collapse
0,minor cracks in plaster on first floor
0,may open for business (Pizza Velo)
2,adjacent building (Fagianis & The Bar)
1,"Damage to adjacent building (rcvd red, yellow, and green tag)"
0,(Fagianis)
1,"Chmney top 1/2"" fell -faling hazard removed owner started waterproofing repair. OK to occupy (COMMERCIAL)"
1,"House has shifted, damage in all 4 corners, cracking in foundation, DWV vent separated.  Limited access to retrieve personal belongings"
0,"Interior GYP board cracking, exterior cracking in CMU walls"
0,"Interior GYP board cracking, exterior cracking in CMU walls 2 residential units"
0,No comments
0,Collasped CMU wall has been removed No hazard remains
0,Collasped CMU wall has been removed No hazard remains
0,Check /re-anchor roof tile. One wall may have shifted slightly
0,(Marys Pizza)
1,"chimney cracked & leaning, remove to roofline & repair"
1,damage to chimney stack - remove to roof line and repair - OK to occupy
0,No comments
0,No comments
0,No comments
1,"damage to chimney, stack has been removed to roofline - OK to occupy"
1,chimney separation from house - remove down to 2' above smoke box
1,chimney damaged - remod to roofline presently - suggest removing to approx 3' above smoke box - OK to occupy
0,No comments
1,front porch support posts separated from beams above - temp shoring in place
1,chimney down at roofline
1,chimney area hazard - engr req
1,chimney area hazard - engr req
1,chimney area hazard - engr req
1,chimney area hazard - engr req
0,(Mariposa Ice Creamery)
1,Horizontal cracks I foundation on S-side. Cracked mortar in chimney @ roofline on W-side
0,No Structural damage
1,"T-bar ceiling down, HVAC register not supported by slack wires"
1,"entry not restricted, employees to take cre where tbar ceiling is down"
0,T-bar ceiling
1,Damaged chimney @ rear of building
0,structure good
0,No tag posted
0,sheetrock cracks/ carport may need engineer
1,chimney
1,chimney
1,Chimney damage
0,(Napa Power Equipment)
1,(Taco Bell) CMU wall failing - failure will damage 3178 Stuart Wy
0,(Taco Bell)
0,(Kelly Moore Paint)
0,structure good
0,(Docs Trophy Shoppe)
0,(Thomas and Dawson)
0,(Futons and Furniture)
0,structure good
0,structure good
0,(Benjamin Moore Paint)
0,structure good
1,"Tiles loose on roof - No parking on North, no dining on West, South falling hazard (Golden Bagel Café)"
0,(Wells Fargo Bank)
1,chimney area hazard - engr req
1,chimney area hazard - engr req
0,No comments
0,Exterior only
1,[red tag lifed - replaced with yellow] - do not use secondary entrance
1,[red tag lifed - replaced with yellow] - do not use secondary entrance
1,"Mod to severe structual damage to exterior wall to foundation connection, columns support floor shifted base of fireplaces, major damage"
2,Structural Façade - brick veneer (Carneros Capitol)
2,Façade failing
1,"Displaced off stone foundation, 1st level racked, stair (front) pulled away from porch. Do not occupy until detailed evalutation by the city"
1,fdn damage to front lower unit - restricted access to front lower unit
1,Damaged chimney- moderate damage
1,Stay away from area immediately around base of chimney in backyard
0,No Crack noticable @ exterior
0,Chimney Removed
1,Chimney
1,Contractor to assess repairs to crackes in chimney & ext. walls
0,No damage observed
1,superficial damage to chimney - section of block wall topped
1,Cracked chimneys/separated from wall interior and exterior
0,minor drywall cracks
0,No comments
1,"Chimney fell down. Chimney removed, permit required for replacement. No restrictions"
0,GREEN tag declined by owner
1,chimney damage - top of chimney removed
0,structure good
0,exterior only - no one home
1,"chimney cracked out and in, cracks adj to front door - have struc engr inspect"
1,Ok to occupancy during repair
1,front brick façade - no occ in front of garage
0,"Minor foundation cracks, minor crack at the drywall above fireplace (SFD)"
0,Cracking interior BYP board cracking
0,Exterior only
1,chimney
0,No comments
0,GREEN TAG (Mobile Home) no comments
0,GREEN TAG (Mobile Home) no comments
0,Structure good
1,brick arch wall racked west over front door
0,No comments
1,chimeny damage
1,Previously posted yellow tag 8/25/14. Harnos Vuletic City of Napa
1,entry stair shifted forward
1,cracks in foundation
1,residents not home
2,Unsafe building (1st Methodist - Santuary)
1,office use limited
0,structure fair
1,Remain outside taped off area until the base of chimney is supported. At that time contact City to reevaluate area
1,Loose debris
1,partial collapse of masonry wall
1,chimney damage - third visit to this site
1,Yellow tag to remain
1,do not inhabit or utlize interior/exterior areas adjacent to chimney
1,Cracks across walls and soffits. Fire sprinkler system in service. No damage noted in riser. Riser room leak at adjacent La Qaquiza (#104)
1,(Starbucks) Cracks across wall and soffits. Fire sprinkler system in service
0,(Redwood Plaza - Bank of America)
0,(La Taquiza)
1,fireplace damage & falling - handrail front steps loose
1,Chimney cracked above roof line potenial collapse hazard in aftershocks. Do no use fireplace-use caution around chimney
1,"Brick Chim - Failed - Wrapped in ply wd. Brick separated on base of fp/chim, fndt. Fascia cracked, side stair rails separated, columns cracked"
1,unable to enter - must be flue - chimney cracks
1,chimney hat collapsed inside roof at roofline
0,observed no structural damage
1,Cracked chimney. Avoid chimney area
0,"Green tag, wood fence & wood gate leaning, minor crack and plaster falling"
1,Porch column
0,"minor cracks in drywall and ext wood siding, cracked window on second flr (tenant stated no related to earthquake)"
0,"minor cracks in drywall and ext wood siding, cracked window on second flr (tenant stated no related to earthquake)"
1,Service riser master pulled free from structure
0,(Napa Buillding Supply)
1,Damage to chimney - chimney down on lawn
1,do not fireplace and avoide side yard by chimney - minor separation of chimney from house
2,crack in all 4 corners (inside & out) foundation
1,supporting column at end of porch tilted
1,Damage limited to store front
2,brick foundation blown out at corners and various locations - no steel reinforcment
1,Keep area clear around chimney
0,Minor pipe break for car wash (Chevron)
0,(7-11 Market)
0,(Redwood Center Plaza - Bev Creech Bookkeeping) - minor cracks in walls
0,(Redwood Center Plaza - Wine Valley)
1,"cracked stucco, partial failure of suspended ceiling"
1,"chimney damage, gas appears to be in tact"
0,Structure good
0,No comments
1,Chimney
0,Exterior of your dwelling has been inspected & has been deemed. Safe to occupy. Chimney appears to be crooked. Recommend/suggest inspection
0,Minor-no comments
1,chimney came off from roofline - do not use fireplace
1,Chimney and adjacent areas hall be inspected. Further investigaion is needed
0,"Green tag, minor stucco cracking"
1,neighbors retaining wall collapsed onto vehicles
0,structure good
0,(Boys & Girls Club)
0,structure good
0,no placard placed - no apparent structural damage
0,No comments
0,structure good
0,structure good
0,looks good
1,No information provided
0,"Minor movement@ portico roof, no damage observed"
1,"trellis at backyard leaning, minor cracks in stucco"
1,"cracks in ground, sidewalk moved, wall problems"
1,Chimney down
0,exterior only - no one home
0,No comments
1,brace and repair needed - do not use upper driveWy until hazard is mitigated
1,"6"" cripple walls, rolling on driveWy, side of house noted - analysis from structural engineer needed"
0,Minor cracking and settlement in ground foundation
1,"chimney damaged - dislodged bricks, cracks"
1,front columns on porch brick leaning
1,four masonry clad posts out of plumb at front veranda - front entry veranda shall not be used until repaired - permit required
1,chimney leaning - do not occupy upstairs bedroom until chimney chase mitigated
1,chimney
1,keep away from the chimney area
1,keep away from the chimney area
1,Chimney
0,No evidence of earthquake damage is observed
1,chimney
0,no one home
1,"chimney collpased above roofline, interior fireplace and chimney covered with drywall prior to earthquake - no restrictions"
0,structure good
1,chimney from roofline and up fell to ground - do not use fireplace.  No further danger visible from front of house - get permit for repair work
1,"Chimney cracks, yellow taped previously, no development. No new tag, previous one is valid still"
1,"[Wells Fargo Bank] wall, ceiling, floor finishes require repair - add ""construction personnel only"" to tag"
1,Northwall crack - 3rd floor can see daylightm unit 200 floor raised.
0,(Bellisimo Café)
0,(YoBelle)
0,(Back Room Wines)
1,"fire alarm on test, elevator not functioning, sprinkler system off"
0,separation at joint to next building
0,(The City Winery)
1,Structural steel separated from brick façade.
1,No information provided
0,minor damage
0,structure good
1,"fallen debris from damaged parapet, remove harzards"
0,structure good
1,Carport collapse
0,Minor interior wall cracks
0,no one home - no damage evident from front yard (limited views of chimney and side wall)
0,minor stucco cracking observed (unit A)
0,"Exterior assesment fr front of house only-owner not present, minor stucco cracking observed"
1,"chimney leaning away from bldg, keep away from this area"
0,Minor drywall cracking & stucco cracking
0,Minor stucco cracking exterior inspection only front & sides only
0,Green Tag GYP board cracking
0,Interior GYP board cracking minor
1,chimney
1,chimney
1,stay aWy 10' from chimney
1,"dislocated bricks on chimney, stay 35' aWy from chimney"
0,Vertical crack in stucco @ garage header. Inspected
1,Cracks and displaced CMU at chimney
0,Minor cracking to drywall & stucco
1,"separation of chimney bricks, Restriction around chimney"
1,"shifted chimney, Restrictions around chimney area"
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,chimney
1,front steps - no placard placed
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,Damage to rear 4x8 ledgers pulled from block wall
0,"2 lateral sWy braces were repaired for 4"" overhead main on sprinkler system, bold sheared at beam (Ross)"
0,(Ross) Ceiling grid replacement
0,"transformer moved - not bolted, ceiling grid damage, t-bar compression posts damaged, fryers not connected"
1,Top chimney section fell to ground
1,already tagged - chimney is gone above roof level - left existing tag
1,Top section Chimney down
1,"chimney fallen and pipe sticking out (right side), chimney on left side may be leaning also"
1,chimney fell - do not use fire place
1,chimney fell
0,No comments
1,Leaning carport (slight)
1,Fallen chimney - no other issues
0,no structural damage
1,"North wall, southeast wall corner & southwall"
1,"Door to understage does not close. Sprinkler sys flooded entire building. Sprinkler sys shut off, no fire watch. No supervisory signal"
1,"dispaced Stone Blocks, racking damage to walls"
2,only porch red tagged (house yellow tagged) [same ATC as yellow tag]
1,house yellow tagged (porch at front red tagged) - post conc pier adj to chimney leaning away - canopy attached to house failed [same ATC as red tag]
0,post has evidence of prior condition (leaning) - green tag only pertains to front post - other tags on property remain
1,Chimney cracked
1,Chimney snapped @ roofing
1,Both interior fireplaces have collapsed
1,Chimney collapsed
1,Base of chimney-bricks separated
0,interior cracks minor - already fixed by contractor
1,N/W corner of foundation has been damaged and rear service porch has lateral displacment no occupancy
0,"Minor cosmetic stucco cracks , does not appear earthquake related ( not tagged)"
1,top section of chimhey above roof line has been removed - repairs needed yet room can be occ
1,front porch damage - unsure of foundation
1,chimney fell at roof line in front wall
0,No comments
1,brick chimney dislocated mortar joints at roof line
0,No comments
0,contactor on-site repairing cracked foundation & fence - no other hazards apparent
1,chimney
1,chimney
1,chimney collapse above roof - chimney on roof as of 9/11
1,Chimney stack collapse onto roof. Garage door buckled.
0,structure good
0,no damage
0,(Burger Fi)
0,structure good
0,minor cracks - no major damage
1,"chimney removed to fire box, rafter end roof tiles dislodged, permit required for repairs, exercise caution when within vicinity of roof"
1,"vertical crack to front masonry chimney, west chimney separated from house, vertical cracks to firebox-do not use fireplace, permit required"
1,ok to occupy except area of damage
1,collapsed chimney at roofline
0,No comments
1,American Legion Hall
0,verified placard from 8/27 insp (Pearl Restaurant)
0,(Pearl Restaurant)
1,"chimney has vertical crack at ext wall, crack at walkways & stairs - OK to occ"
1,chimney
1,detached garage center support beam is sagging
1,Possible cracked chimney
0,No structural EQ damage
1,"chimney separating from house, superficial stucco & sheetrock cracking - engr eval wall in crawl space under house"
0,Structure good
0,Horizontal crack at first be joint
1,remain clear of wall
1,Chimney collapsed onto roof and broke attic. Ceiling drywall broken above living room
1,horizontal crack in mortar joint on 3 sides of chimney
1,horizontal cracking in mortar joint in chimney - remain clear of area below
1,horizontal cracking in mortar joint in chimney - remain clear of area below
1,remain clear of wall
1,CMU block from chimney shingle are already in place. Do not use chimney. Bldg permit is re'd for completion of repairs
0,Structure poorly maintained-abundant dry rot
0,Structure poorly maintained-abundant dry rot
0,Minor Stucco cracks-inspected exterior front only. Engineer to look @ Shear wall @ stucco crack next  garage door
1,Appears that top portion of chimney above roof was damaged. Already removed top portion of chimney
1,chimney top demolished
1,Chimney collapsed onto roof causing roof damage and crushed AC Unit
0,structure good
1,Chimney falling hazard
0,No damage
0,No comments
1,Loose brick on chimney @ roof line. Resident refused the yellow tag - do not use side yard until hazard is mitigated
1,"facacia brick has totally separated from front of house. Fallen brick on rood from chimney, (1"") gap between house and chimney"
1,"east side of house has a lateral shift on foundation wall chimney is separating from house with approx. 1"" gap"
1,Brick falling from top of chimney
1,Cracks at top & mid height of chimney
1,"Chimney has separated from wall with 2"" gap"
0,"Cracks in stucco diagonal south east wall @ window, stucco cracks @ garage header, cracks in second floor GYPBD ceiling"
0,"hairline plaster cracks, structure good"
1,separate of corner framing
0,Minor distress on side @ fndn to framing interface. Some interior & exterior cracking to plaster
0,No comments
1,Public sidewalk at brick fence. Falling hazard
1,Avoid chimney area inside and outside
1,need to inspect chimneys mortar joint line at roof line - joint appears to have gaps/remain clear of chimney area
1,remain clear of fence line adjacent to chimney located at 3555 Mariposa Ct
1,Top of chimney section loose ready to fall
1,chimney bricks failed along horizontal joint line/remain clear of chimney area
0,structure good
0,structure good
0,structure good
0,engineer evaluation on file
1,Damaged chimney- moderate damage
1,Fireplace Damage
0,(dental office) chimney debris removed- building repaied to allow full occ
0,"Green tag, no visual damage"
1,Two damaged fireplaces
1,front & rear stairs & landing - separation occurred at front & rear stairs
0,No comments
0,Completed interior & Exterior inspection. Owner to request a foundation inspection . She will call bldg. dept.
0,"evidence of movement, no fresh spalling, looks like conc weakened overtime due to moisture - no one home"
0,"stucco delam on upper side; brick base of chimney cracked, minor stucco cracking around window"
0,duplex - no one home
1,Restricted Use
1,Hazard?
1,Chimney in danger of collapsing into side yard and neighbors driveWy - do not use side yard near chimney until hazard is mitigated
0,"Slab foundation@ rm. Addition move 3/8"", plaster cracks @ S. extr. wall/foundation stem wall.Recommend to have engineer look @ sill plate"
1,Neighbors chimney in danger of collapse - do not use side yard until hazard is mitigated
1,Several loose bricks on chimney
1,Several loose brick above the roof line
1,One loose brick
0,Interior GYP BD.cracks @ ft door windows minor. Recommend engineer look at sill plate in crawl space
